id,v_21,v_32,v_15,v_4,v_1,v_8,v_12,v_25,v_20,v_18,v_3,v_11,v_14,v_26,v_27,v_30,v_9,v_31,v_28,v_13,v_33,v_17,v_19,v_29,v_23,v_24,v_10,v_5,v_6,v_22,v_0,v_7,v_2,v_16,v_34,v_35,v_36,v_37,v_38,v_39,v_40,label
622,3,6,11,102,1,1,16,1,6,103,39,1,0,0,1,0,1,26,0,14,29,50,24,19,3,15,25,37,14,25,12,8.9,1.4,3.51,4,81,48,21,54,70,2,1
623,3,89,10,96,1,1,16,1,60,38,31,1,0,1,1,0,1,27,0,14,28,48,23,19,3,15,24,36,13,25,12,8.9,1.4,3.51,5,77,18,6,18,71,0,1
624,3,89,10,20,0,1,16,181,251,30,45,1,0,1,1,0,0,27,0,14,29,47,24,18,3,15,25,38,14,24,12,10.8,1.4,1.74,1,72,34,35,12,63,5,1
625,3,6,13,121,1,1,16,183,278,103,79,1,0,0,1,0,0,26,0,14,31,49,25,18,3,15,27,39,15,25,12,12.7,3.7,-1.7,5,27,28,34,37,8,0,1
626,3,12,16,162,1,2,48,116,173,25,88,0,1,1,0,1,1,27,0,23,29,50,26,24,4,16,26,38,18,35,20,21.2,3.3,5.08,8,80,3,34,65,14,4,1
627,33,116,10,121,1,12,16,181,278,30,44,0,0,1,0,1,0,55,0,14,30,48,18,6,10,15,27,39,8,13,20,15.5,2.8,-4.06,1,37,27,22,20,4,4,0
628,3,6,11,148,1,1,16,110,6,103,31,1,0,0,1,0,0,26,0,14,29,47,24,19,3,15,25,42,14,27,12,10.8,1.4,1.74,2,12,1,4,15,28,3,1
629,3,6,10,155,1,1,16,110,251,103,87,0,0,0,1,0,1,27,0,14,29,48,24,20,3,15,25,37,14,26,12,11.1,0.6,2.02,9,15,43,29,43,21,3,1
630,3,6,10,167,0,1,16,181,251,103,31,0,0,0,1,1,0,34,0,14,28,52,20,17,3,15,24,41,11,25,12,7.6,2.6,0.32,0,96,9,7,22,44,1,2
631,3,6,10,155,1,1,16,181,251,103,87,1,0,0,1,0,0,26,0,14,29,47,24,19,3,15,25,40,13,26,12,9.4,-0.8,-3.12,8,34,41,19,10,49,5,1
632,33,116,10,20,0,12,16,181,251,103,87,0,0,1,0,0,0,58,0,14,29,52,18,6,3,15,24,37,8,13,12,8.9,1.4,3.51,2,50,38,21,7,29,0,0
633,3,6,14,54,1,1,16,1,168,12,31,1,0,0,1,1,1,29,0,14,29,47,24,19,3,15,25,37,14,24,12,11.1,0.6,2.02,9,37,21,39,60,27,3,1
634,3,6,10,100,1,1,16,1,168,23,87,0,0,0,1,0,1,28,0,14,29,47,24,17,3,15,25,39,14,24,12,15.5,2.8,-4.06,0,54,46,8,28,29,3,1
635,11,9,16,109,1,6,22,188,14,35,70,0,0,1,0,1,1,34,0,19,37,48,32,20,11,21,32,43,19,29,20,16.4,1.5,4.79,10,40,27,27,37,70,2,1
636,3,147,10,96,1,1,16,5,168,11,87,0,0,0,1,0,0,26,0,14,28,46,18,6,3,15,24,40,12,26,14,16.2,0.3,-0.92,3,79,47,30,35,61,3,2
637,3,6,11,121,1,1,16,110,168,103,87,1,0,0,1,0,0,26,0,14,30,49,25,20,3,15,27,39,16,28,12,15.5,2.8,-4.06,7,35,14,8,24,56,5,1
638,3,6,10,17,1,1,16,5,66,11,44,1,0,0,1,0,0,26,0,14,23,41,18,6,3,15,19,31,8,13,12,11.1,0.6,2.02,0,27,6,8,29,29,4,1
639,3,116,10,20,0,1,16,1,168,36,79,0,0,0,1,0,1,32,0,14,29,52,23,17,3,15,25,40,13,25,12,11.1,0.6,2.02,8,32,31,12,42,4,5,1
640,3,143,10,158,1,1,16,1,251,30,44,1,0,0,1,0,0,29,0,14,29,49,22,18,3,15,25,44,11,23,12,12.7,3.7,-1.7,1,61,38,25,23,30,5,0
641,3,89,11,102,1,1,16,110,168,23,31,1,0,0,1,1,0,28,0,14,29,49,24,17,3,15,25,40,13,23,12,7.6,2.6,0.32,9,41,47,30,51,41,3,2
642,3,6,10,121,1,1,16,1,6,23,39,1,0,0,1,0,1,27,0,14,31,49,26,20,3,15,27,39,16,27,12,9.4,-0.8,-3.12,3,50,6,13,28,50,1,1
643,4,143,10,52,1,1,16,5,6,11,17,0,0,0,1,1,0,34,0,14,29,50,19,16,3,15,25,37,8,13,12,12.4,0.5,1.79,1,51,4,40,21,6,1,0
644,4,116,10,100,1,1,16,181,251,38,70,0,0,0,1,1,1,48,0,14,29,48,24,18,3,15,25,41,12,25,12,8.9,1.4,3.51,0,100,3,40,60,77,3,0
645,3,6,14,54,1,1,16,181,251,103,87,1,0,0,1,0,0,28,0,14,29,47,24,17,3,15,25,37,14,25,12,7.6,2.6,0.32,6,13,43,6,57,66,0,1
646,3,6,11,55,1,1,16,110,168,121,131,0,0,0,1,0,0,28,0,14,28,47,23,18,3,15,24,39,12,25,12,7.6,2.6,0.32,7,40,24,20,45,45,2,1
647,4,116,10,167,0,3,16,110,168,103,70,0,0,0,1,0,0,34,0,14,28,46,23,18,3,15,24,37,13,27,12,10.8,1.4,1.74,1,68,20,25,12,63,3,1
648,3,89,10,148,1,1,16,1,278,23,70,0,0,1,1,0,1,26,0,14,29,48,19,20,3,15,25,37,8,13,12,15.5,2.8,-4.06,0,25,41,35,6,30,0,0
649,3,6,13,102,1,1,16,183,246,103,87,1,0,0,1,0,1,26,0,14,29,48,24,17,3,15,25,40,14,23,12,9.4,-0.8,-3.12,9,88,42,36,12,63,4,1
650,3,89,11,155,1,1,16,1,6,23,79,1,0,0,1,0,0,27,0,14,29,47,24,19,3,15,25,37,14,27,12,12.4,0.5,1.79,9,22,38,27,13,50,4,1
651,9,120,14,174,1,8,22,188,259,106,94,1,1,1,0,1,1,34,0,19,36,54,20,6,12,16,30,48,9,21,19,17.2,0.3,2.08,5,30,50,14,60,58,12,0
652,3,55,10,155,1,1,85,183,251,30,87,1,0,0,1,0,0,30,1,14,29,49,24,17,3,15,25,37,14,26,12,12.7,3.7,-1.7,8,44,47,26,60,18,1,1
653,3,89,10,148,1,1,16,110,278,38,87,1,0,0,1,0,1,27,0,14,29,50,23,19,3,15,25,37,14,27,12,12.4,0.5,1.79,9,69,38,6,39,78,3,1
654,3,6,10,76,1,1,16,12,69,11,17,1,0,0,1,0,0,29,0,14,28,53,19,17,3,15,24,40,10,23,12,12.7,3.7,-1.7,0,19,26,15,10,73,4,2
655,3,6,15,155,1,1,16,1,168,23,39,1,0,0,1,0,1,26,0,14,29,47,24,18,3,15,25,41,13,24,12,7.6,2.6,0.32,9,21,12,16,12,10,5,2
656,3,92,10,96,1,1,16,183,278,30,44,1,0,0,1,0,0,32,0,14,28,46,23,16,3,15,24,42,10,24,12,10.8,1.4,1.74,2,17,7,34,1,78,1,2
657,11,125,14,53,1,1,25,184,278,104,54,0,1,1,0,0,1,37,1,16,35,52,18,12,5,23,26,39,16,14,21,13.9,5.4,4.51,10,36,42,39,66,76,5,0
658,6,123,16,99,1,2,24,186,14,44,32,0,1,1,0,1,1,33,1,19,34,48,28,26,3,21,24,40,20,32,20,14.7,11.7,-1.7,16,9,11,13,47,46,8,1
659,3,157,10,20,0,14,16,1,60,23,45,0,0,1,1,0,0,28,0,17,29,47,24,19,3,17,25,38,14,27,12,12.4,0.5,1.79,1,83,32,1,37,70,0,1
660,12,159,12,60,1,1,17,7,176,19,96,1,1,1,0,1,1,35,0,20,29,61,29,20,12,19,25,50,15,29,18,21.4,4.5,1.79,14,58,14,39,21,84,7,0
661,3,89,10,158,1,1,16,110,168,12,39,0,0,0,1,0,0,37,0,16,31,51,25,17,3,17,27,42,16,24,12,12.7,3.7,-1.7,8,26,10,29,33,68,0,1
662,3,147,10,121,1,1,16,183,60,30,17,0,0,0,1,0,0,29,0,17,30,49,25,19,3,17,27,39,16,28,12,13.9,-0.3,0.79,0,59,24,7,42,39,3,1
663,3,6,10,121,1,1,16,1,6,30,13,0,0,0,1,0,0,27,0,14,30,48,25,20,3,15,27,40,16,27,12,16.2,0.3,-0.92,1,79,14,29,31,33,2,1
664,3,6,11,100,1,1,16,1,168,23,79,0,0,0,1,0,0,28,0,14,29,54,18,6,3,15,24,42,8,13,12,9.4,-0.8,-3.12,5,37,23,17,59,58,1,2
665,3,147,11,148,1,1,16,110,6,23,39,1,0,0,1,1,0,30,0,18,29,47,24,17,3,15,25,42,12,24,12,10.8,1.4,1.74,5,32,17,22,29,43,1,0
666,3,6,10,155,1,1,16,181,278,103,45,1,0,0,1,1,0,26,0,14,29,47,24,19,3,15,25,37,14,26,12,12.7,3.7,-1.7,0,20,16,10,49,22,4,1
667,3,116,10,59,1,15,16,1,6,30,104,0,0,0,1,1,0,33,0,16,28,47,23,20,3,16,24,36,10,26,12,16.2,0.3,-0.92,9,97,28,6,33,31,0,2
668,3,6,10,76,1,1,16,5,6,11,39,0,0,0,1,1,0,26,0,14,28,48,21,19,3,15,24,36,13,26,12,7.6,2.6,0.32,3,82,48,2,51,69,4,1
669,4,116,10,100,1,12,16,181,251,103,87,1,0,0,1,0,0,39,0,14,29,52,18,6,3,15,24,41,8,13,12,9.4,-0.8,-3.12,6,22,46,12,25,17,2,2
670,3,6,10,17,1,1,129,5,60,11,44,1,0,0,1,0,1,27,1,14,23,41,18,6,3,15,19,31,8,13,12,13.9,-0.3,0.79,1,45,23,24,19,28,3,1
671,3,6,10,100,1,1,16,183,168,103,44,0,0,0,1,0,0,26,0,14,29,47,24,18,3,15,25,37,14,25,12,12.4,0.5,1.79,8,45,33,7,55,31,4,1
672,3,6,10,96,1,1,16,1,278,23,31,0,0,0,1,0,0,26,0,14,28,46,23,22,3,15,24,36,13,29,12,11.1,0.6,2.02,0,38,28,3,11,3,3,1
673,3,6,10,148,1,1,16,181,278,103,87,1,0,1,0,0,0,26,0,14,29,48,22,17,3,15,25,40,12,23,12,10.8,1.4,1.74,0,91,25,27,48,10,4,0
674,3,116,10,148,1,7,16,181,251,30,31,0,0,1,1,1,0,34,0,14,28,46,18,6,3,15,24,36,8,13,12,9.4,-0.8,-3.12,9,91,35,29,41,73,3,0
675,3,157,10,54,1,14,16,62,251,12,87,0,0,1,1,0,1,30,0,16,30,48,25,19,3,20,28,40,17,26,12,12.4,0.5,1.79,3,17,37,33,13,0,3,1
676,3,89,11,20,0,1,16,110,6,7,13,0,0,0,1,0,1,28,0,14,29,47,24,17,3,15,25,43,13,27,12,10.8,1.4,1.74,9,100,41,25,3,28,2,1
677,3,50,10,121,1,3,16,5,168,11,45,0,0,0,1,1,0,35,0,14,30,41,18,6,3,15,27,31,8,13,12,12.4,0.5,1.79,2,43,12,3,9,49,0,0
678,3,147,10,148,1,1,16,1,278,23,39,0,0,1,0,0,0,27,0,14,29,54,21,16,3,15,25,37,12,25,12,15.5,2.8,-4.06,4,9,40,31,60,54,3,0
679,12,6,14,104,1,1,19,181,259,111,72,1,0,0,0,0,1,33,0,18,31,55,25,19,11,17,34,42,10,25,13,18.8,10.4,8.74,9,0,10,40,39,26,3,0
680,3,6,10,96,1,1,16,165,242,152,135,0,0,1,1,1,1,29,0,14,28,46,23,18,3,15,24,40,11,25,12,10.8,1.4,1.74,1,94,48,7,32,78,1,2
681,3,6,12,148,1,1,16,105,123,3,5,1,0,0,0,1,0,27,0,14,28,46,18,6,3,15,23,35,8,13,12,7.6,2.6,0.32,2,40,38,16,21,67,3,0
682,3,6,11,100,1,1,16,181,278,103,79,1,0,0,1,0,0,26,0,14,29,48,24,19,3,15,25,37,14,27,12,9.4,-0.8,-3.12,2,64,22,31,20,2,0,1
683,33,6,10,20,0,1,16,184,168,23,104,1,0,0,1,0,1,55,0,14,29,50,23,20,3,15,25,38,14,27,12,16.2,0.3,-0.92,6,44,29,0,39,24,4,1
684,3,6,11,158,1,1,16,181,251,310,333,1,0,1,1,0,1,28,0,14,30,48,25,19,3,15,26,39,15,25,12,8.9,1.4,3.51,9,30,31,33,55,10,0,1
685,7,166,17,83,1,20,17,6,257,28,80,0,0,1,0,1,1,32,1,18,35,56,29,22,8,15,31,41,10,20,14,15.5,4.8,4.94,6,39,27,27,62,24,8,0
686,7,14,15,126,1,2,19,29,77,13,23,0,1,1,0,1,1,30,0,15,38,54,30,20,10,24,31,42,25,32,13,12.4,5.5,4.79,17,13,8,28,58,54,7,1
687,3,6,12,158,1,1,16,5,60,11,17,1,0,0,1,0,0,31,0,14,29,49,23,19,3,15,25,39,13,24,12,7.6,2.6,0.32,7,62,45,34,55,25,3,2
688,3,6,10,158,1,1,16,5,6,11,44,1,1,0,1,0,0,26,0,14,30,51,24,16,3,15,26,43,14,25,12,13.9,-0.3,0.79,6,15,40,10,47,46,2,2
689,4,116,10,20,0,3,16,181,251,103,87,0,0,0,1,0,0,46,0,22,34,52,29,18,3,20,27,39,16,24,12,13.9,-0.3,0.79,8,96,45,5,13,8,1,1
690,3,6,10,100,1,1,16,183,168,64,104,1,0,0,1,1,0,27,0,14,29,41,18,6,3,15,25,31,8,13,12,16.2,0.3,-0.92,8,76,24,30,6,36,2,0
691,3,143,10,167,0,1,16,110,168,30,44,0,0,0,1,1,0,38,0,25,38,56,31,17,3,21,30,46,18,24,13,16.2,0.3,-0.92,4,65,41,40,3,43,0,1
692,3,6,10,121,1,1,16,110,168,103,104,1,0,1,1,0,0,27,0,14,30,41,18,6,3,15,27,31,8,13,12,11.1,0.6,2.02,3,33,11,9,25,49,3,0
693,3,6,12,155,1,1,16,110,278,23,39,1,0,0,1,0,1,28,0,14,29,47,24,19,3,15,25,38,14,25,12,11.1,0.6,2.02,9,75,20,35,0,73,3,1
694,8,120,13,27,1,9,20,181,253,36,47,0,1,1,0,1,1,47,0,19,30,49,31,24,5,16,25,38,20,33,15,10.4,8.2,3.88,17,33,47,17,18,72,3,1
695,3,50,10,59,1,4,16,12,60,11,70,0,0,1,1,1,0,38,0,14,28,47,22,20,3,15,24,41,11,29,12,13.9,-0.3,0.79,4,89,17,21,12,49,4,2
696,7,7,21,163,1,9,19,5,251,23,52,1,0,1,0,1,1,28,0,17,29,55,26,23,6,23,30,43,22,32,13,12.9,1.4,10.51,7,25,45,31,39,14,6,1
697,11,12,13,79,1,8,20,9,6,16,44,0,1,1,0,1,1,30,0,16,35,57,22,26,8,20,31,41,20,26,20,12.6,4.6,5.32,10,91,55,7,53,78,5,1
698,3,6,10,17,1,1,16,5,33,23,17,1,0,0,1,0,0,29,0,20,35,53,26,19,3,19,30,44,17,25,13,8.9,1.4,3.51,2,39,35,9,41,13,5,0
699,3,6,13,121,1,1,16,110,278,103,31,1,0,0,1,0,0,27,0,14,30,48,24,20,3,15,26,38,14,27,12,7.6,2.6,0.32,3,61,17,13,36,45,5,1
700,3,6,10,102,1,1,16,110,99,3,5,1,0,0,1,0,1,28,0,14,29,53,18,6,3,15,25,43,8,13,12,7.6,2.6,0.32,8,89,34,10,60,43,4,0
701,3,143,10,102,1,1,16,183,251,7,13,1,0,0,1,0,0,36,0,22,37,63,30,18,3,18,31,51,16,25,12,9.4,-0.8,-3.12,7,79,16,4,0,5,5,1
702,3,92,12,158,1,1,16,183,251,30,87,1,0,0,0,1,0,27,0,14,29,51,22,18,3,15,25,43,8,13,12,10.8,1.4,1.74,1,94,32,18,17,32,3,0
703,7,13,10,107,1,4,19,114,256,42,74,0,1,1,0,1,1,33,0,15,35,61,25,21,3,17,26,43,12,33,17,23.2,0.3,6.08,7,53,26,23,19,61,5,2
704,8,54,19,121,1,10,19,187,281,103,92,0,1,1,0,1,1,42,0,18,35,49,32,28,3,18,29,49,19,37,19,22.2,7.3,6.08,9,16,50,36,29,48,14,0
705,4,116,10,55,1,1,16,181,251,121,131,0,0,0,1,1,0,41,0,14,28,48,22,19,3,15,24,37,13,24,12,7.6,2.6,0.32,5,13,8,11,26,47,3,1
706,4,147,10,20,0,1,16,165,242,3,5,0,0,0,1,0,0,53,0,24,35,53,27,18,6,19,26,39,14,25,12,9.4,-0.8,-3.12,7,82,15,29,32,53,2,0
707,3,89,10,100,1,1,16,110,278,23,87,1,0,0,1,0,1,28,0,14,29,47,24,19,3,15,25,38,14,27,12,15.5,2.8,-4.06,0,100,38,34,28,3,3,1
708,3,6,15,121,1,1,16,1,251,38,70,1,0,0,1,0,0,27,0,14,30,41,18,6,3,15,27,31,8,13,12,12.7,3.7,-1.7,7,28,36,23,40,17,2,0
709,3,89,10,100,1,1,16,1,6,103,87,1,0,0,1,0,0,29,0,14,29,49,24,18,3,15,25,38,14,26,12,11.1,0.6,2.02,4,24,43,18,40,66,0,1
710,4,116,10,158,1,1,16,181,251,103,87,0,0,1,0,0,0,40,0,14,29,47,18,6,3,15,24,41,8,13,12,10.8,1.4,1.74,7,8,39,6,38,65,4,0
711,3,116,10,59,1,1,16,1,6,23,39,0,0,0,1,1,0,42,0,14,28,48,18,6,3,15,24,39,9,24,12,10.8,1.4,1.74,4,68,32,0,1,74,1,2
712,3,89,10,148,1,1,16,183,251,103,79,1,0,0,1,1,1,27,0,14,29,47,24,19,3,15,25,38,14,26,12,8.9,1.4,3.51,4,40,19,28,43,53,1,1
713,3,89,12,54,1,1,16,5,60,23,39,1,0,0,1,0,1,28,0,14,29,47,24,18,3,15,25,37,14,27,12,12.7,3.7,-1.7,3,28,15,0,3,59,3,2
714,3,157,10,52,1,14,16,5,6,23,45,0,0,0,1,1,0,27,0,14,29,49,23,17,3,15,25,42,14,24,12,12.4,0.5,1.79,7,27,15,0,20,44,4,2
715,3,6,10,76,1,1,16,181,251,103,87,1,0,1,1,0,0,28,0,14,28,51,20,18,5,15,24,40,12,24,12,9.4,-0.8,-3.12,8,71,18,13,29,26,2,0
716,3,157,10,59,1,14,16,110,60,30,17,0,0,0,1,1,0,28,0,14,28,57,18,6,3,15,24,43,10,23,12,12.7,3.7,-1.7,6,52,32,22,7,54,1,2
717,4,143,10,121,1,2,16,181,251,103,87,0,0,0,1,0,1,40,0,14,31,49,26,20,3,15,27,39,16,27,12,9.4,-0.8,-3.12,6,5,43,22,26,48,0,1
718,3,6,10,55,1,1,16,3,6,23,104,1,0,0,1,0,0,27,0,14,28,48,22,18,3,15,24,36,13,25,12,10.8,1.4,1.74,9,76,32,0,24,53,4,1
719,4,97,14,81,1,7,19,6,69,38,25,0,0,1,0,1,1,29,1,14,38,56,29,24,9,20,33,48,18,27,16,18.9,1.7,1.79,11,102,28,35,21,63,1,0
720,11,96,18,62,1,1,20,9,39,20,35,0,1,1,0,1,1,36,0,14,28,56,28,21,8,22,26,46,12,32,14,18.4,3.5,10.79,6,101,32,35,47,43,12,2
721,4,116,10,167,0,1,16,181,137,103,87,0,0,1,1,1,0,43,0,14,28,47,23,16,3,15,24,38,13,25,14,9.4,-0.8,-3.12,6,69,50,4,53,17,0,0
722,3,89,10,158,1,1,16,5,60,11,17,1,0,0,0,0,0,37,0,14,29,50,24,22,3,15,25,39,13,28,12,12.7,3.7,-1.7,9,94,4,28,9,44,0,0
723,3,116,11,167,0,1,16,110,251,103,79,1,0,0,1,0,1,36,0,14,28,48,23,16,3,15,24,37,13,23,12,9.4,-0.8,-3.12,4,63,23,1,31,27,4,2
724,4,50,10,20,0,3,16,110,168,23,39,0,0,0,1,0,0,35,0,14,28,46,18,6,3,15,25,31,8,13,12,9.4,-0.8,-3.12,5,100,7,33,36,71,5,0
725,3,89,10,148,1,3,16,62,60,30,79,1,0,1,0,0,0,28,0,14,29,47,18,6,3,15,25,40,8,13,12,10.8,1.4,1.74,9,83,3,22,30,66,0,0
726,3,89,11,59,1,1,16,1,33,12,31,1,0,0,1,1,0,29,0,14,28,51,23,17,3,15,24,41,11,23,12,12.4,0.5,1.79,1,98,24,33,38,36,5,2
727,3,6,11,121,1,1,16,110,168,23,70,1,0,0,1,1,0,26,0,14,30,50,25,20,3,15,27,41,16,26,12,15.5,2.8,-4.06,4,71,6,12,32,72,3,1
728,3,147,10,54,1,1,16,183,251,64,70,1,0,0,1,1,0,28,0,17,29,47,22,18,3,18,28,43,11,25,12,12.4,0.5,1.79,5,37,25,10,26,71,3,0
729,3,9,10,104,1,2,18,4,9,28,47,0,1,1,0,1,1,29,0,23,32,57,24,23,6,17,26,49,10,34,19,7.6,5.6,5.32,11,9,27,20,48,24,4,2
730,3,92,10,146,1,1,16,183,251,103,87,0,0,0,1,0,1,27,0,14,30,52,25,18,3,15,27,42,16,25,12,12.7,3.7,-1.7,9,94,5,16,20,24,3,1
731,3,89,13,158,1,1,16,183,278,30,70,1,0,0,1,0,1,28,0,14,29,49,23,19,3,15,25,40,13,26,12,9.4,-0.8,-3.12,5,18,21,27,16,58,3,1
732,3,89,11,59,1,1,16,1,168,103,79,0,0,0,1,1,1,26,0,14,28,49,22,19,3,15,25,41,14,26,12,11.1,0.6,2.02,4,68,46,27,53,29,3,2
733,5,121,11,122,1,3,22,10,13,15,45,0,1,1,0,1,1,45,0,20,39,59,33,25,8,20,30,45,15,25,12,14.8,1.4,10.74,2,73,41,35,30,46,4,2
734,3,143,10,59,1,1,16,21,69,11,17,0,0,0,1,1,0,38,0,15,29,50,20,21,3,16,25,38,10,26,12,15.5,2.8,-4.06,2,82,12,30,58,49,5,0
735,3,116,10,20,0,1,16,62,69,103,39,0,0,1,0,0,0,45,0,14,29,47,18,6,3,15,24,36,8,13,12,8.9,1.4,3.51,9,84,37,30,28,55,4,0
736,3,116,10,121,1,1,16,183,168,103,87,1,0,0,0,1,0,40,0,14,30,41,18,6,3,15,27,31,8,13,12,16.2,0.3,-0.92,1,39,35,26,57,69,0,0
737,3,6,10,55,1,1,16,110,251,103,87,1,0,0,1,0,1,28,0,14,28,54,23,20,5,15,24,41,11,25,13,9.4,-0.8,-3.12,9,3,32,37,23,60,3,1
738,3,92,11,121,1,1,94,1,6,23,31,1,0,0,1,0,1,28,1,14,31,49,26,20,3,15,27,39,16,27,12,9.4,-0.8,-3.12,0,67,27,1,18,66,3,1
739,3,6,10,54,1,1,16,181,251,103,87,1,0,0,1,0,1,27,0,14,29,47,24,19,3,15,25,39,14,25,12,10.8,1.4,1.74,3,74,35,36,19,70,3,1
740,3,166,10,96,1,1,16,1,168,103,45,1,0,0,1,1,0,38,0,14,28,48,23,19,3,15,24,38,12,26,12,8.9,1.4,3.51,8,92,32,12,19,28,1,0
741,3,6,10,76,1,1,16,3,176,23,31,1,0,0,1,0,0,26,0,14,28,49,22,19,5,15,24,40,8,13,15,10.8,1.4,1.74,6,96,22,20,2,37,0,0
742,4,50,10,20,0,3,16,181,242,3,5,0,0,0,1,0,0,38,0,22,33,52,27,18,3,18,26,38,15,25,13,7.6,2.6,0.32,4,92,24,15,16,35,5,1
743,3,50,10,100,1,15,16,181,251,30,44,0,0,0,1,1,0,45,0,25,39,64,33,17,3,21,30,48,17,24,12,15.5,2.8,-4.06,0,77,31,26,10,25,3,1
744,3,6,11,121,1,1,16,183,278,103,79,1,0,0,1,0,1,28,0,14,30,49,25,17,3,15,27,40,16,26,12,13.9,-0.3,0.79,3,19,13,10,57,6,3,1
745,3,6,11,102,1,1,16,183,168,103,70,1,0,0,1,0,0,26,0,14,29,51,22,17,3,15,25,40,13,24,12,7.6,2.6,0.32,7,71,45,25,9,54,5,2
746,3,116,10,100,1,1,16,165,242,3,5,1,0,0,0,0,0,36,0,14,29,52,19,19,3,15,25,43,8,13,12,9.4,-0.8,-3.12,4,14,16,22,59,21,2,0
747,3,143,10,100,1,1,16,1,168,23,87,0,0,0,1,0,0,29,0,24,36,62,29,19,3,21,30,44,17,26,12,7.6,2.6,0.32,8,72,23,19,15,37,3,1
748,3,50,10,76,1,2,41,269,6,23,87,0,0,0,1,1,0,43,1,14,30,49,18,6,4,15,25,40,8,13,12,8.9,1.4,3.51,7,59,28,27,30,62,4,0
749,3,116,10,55,1,9,16,165,242,152,135,0,0,1,0,1,0,35,0,14,28,46,18,6,3,15,24,36,8,13,12,7.6,2.6,0.32,1,89,30,36,47,78,3,0
750,3,6,11,17,1,1,16,5,60,11,17,1,0,0,1,0,0,26,0,14,23,41,18,6,3,15,19,31,8,13,12,12.4,0.5,1.79,5,20,6,12,60,57,3,2
751,3,6,10,102,1,1,16,1,6,23,17,0,0,1,0,0,1,29,0,14,29,48,24,19,3,15,25,39,14,24,12,8.9,1.4,3.51,3,15,48,26,59,18,2,0
752,3,116,10,121,1,1,16,1,278,12,70,0,0,0,1,0,1,35,0,14,30,49,24,18,3,15,26,40,14,24,12,12.4,0.5,1.79,6,77,35,9,56,34,5,2
753,3,93,15,102,1,4,25,114,176,30,87,0,1,1,0,1,0,34,0,22,32,51,32,23,4,22,27,51,15,32,20,20.2,5.3,8.08,5,55,7,34,4,60,2,1
754,3,157,10,55,1,14,41,21,66,7,13,0,0,0,1,0,0,28,1,16,29,48,24,19,3,16,25,47,13,26,12,12.4,0.5,1.79,9,37,13,13,10,63,2,1
755,3,6,15,121,1,1,16,181,278,103,87,1,0,0,1,0,1,27,0,14,31,49,25,18,3,15,27,39,15,25,12,12.7,3.7,-1.7,7,74,14,28,45,73,3,1
756,3,89,10,17,1,1,16,110,6,23,13,1,0,0,1,1,0,27,0,20,35,53,30,19,3,19,30,43,19,26,12,8.9,1.4,3.51,0,57,11,20,10,50,3,1
757,6,125,16,55,1,3,25,185,283,104,107,0,1,1,0,1,1,63,0,16,29,50,26,14,5,24,28,39,15,15,17,24.2,1.3,3.08,9,40,32,9,22,19,1,0
758,3,6,10,155,1,1,16,181,251,64,79,0,0,0,1,0,0,26,0,14,29,48,24,19,3,15,25,38,14,27,12,13.9,-0.3,0.79,6,43,38,13,35,13,0,1
759,3,6,15,121,1,1,16,5,6,11,13,1,0,0,1,1,0,26,0,14,31,51,26,19,5,15,27,41,16,26,14,9.4,-0.8,-3.12,6,99,50,6,15,20,5,1
760,3,6,10,100,1,1,16,1,6,23,39,0,0,0,1,1,0,27,0,14,29,53,22,18,3,15,25,40,14,24,12,9.4,-0.8,-3.12,9,89,34,16,32,14,4,1
761,3,6,13,121,1,1,16,1,168,23,70,1,0,0,1,0,0,26,0,14,30,41,18,6,3,15,27,31,8,13,12,15.5,2.8,-4.06,0,40,8,29,42,2,1,0
762,3,116,10,167,0,1,16,181,251,38,104,0,0,0,0,0,0,56,0,14,28,46,19,16,3,15,24,36,8,13,12,15.5,2.8,-4.06,5,70,45,9,17,32,2,0
763,3,6,10,155,1,1,16,5,60,173,178,0,0,0,1,0,0,26,0,14,29,48,24,20,3,15,25,39,14,26,12,8.9,1.4,3.51,2,12,10,10,21,64,1,1
764,6,89,18,146,1,6,24,110,286,39,73,0,1,1,1,1,1,26,0,17,38,54,34,29,7,20,27,43,21,26,14,18.7,5.7,0.30000000000000004,6,94,13,29,50,63,3,1
765,3,6,10,76,1,1,16,5,60,7,17,0,0,0,1,1,0,26,0,14,28,48,22,20,3,15,24,36,13,27,12,7.6,2.6,0.32,6,89,23,28,26,47,5,1
766,6,11,13,78,1,9,24,116,282,108,88,0,1,1,0,1,1,28,0,20,30,56,29,25,11,16,27,48,13,34,20,12.9,9.4,9.51,6,88,15,31,30,26,8,1
767,3,92,11,158,1,1,16,1,6,103,5,0,0,0,1,0,0,26,0,14,30,53,24,18,3,15,26,42,14,25,12,13.9,-0.3,0.79,2,39,36,22,10,37,4,2
768,3,89,15,121,1,1,16,110,251,23,87,1,0,0,1,0,0,27,0,14,30,48,25,19,3,15,27,39,16,27,12,13.9,-0.3,0.79,9,42,36,30,21,57,1,0
769,3,89,14,158,1,1,16,181,278,30,45,1,0,0,1,0,1,27,0,14,29,51,23,18,3,15,25,40,13,23,12,9.4,-0.8,-3.12,0,8,5,24,13,23,4,1
770,3,6,11,158,1,1,16,1,6,11,87,1,0,0,1,0,0,28,0,14,29,47,24,19,3,15,25,37,8,13,12,12.7,3.7,-1.7,1,21,37,12,59,4,4,0
